Year,State,Cases,Disease,Population,Population Density
2017,Alaska,41628,Diabetics,710231.0,1.2
2018,Alaska,48620,Diabetics,710231.0,1.2
2019,Alaska,40196,Diabetics,710231.0,1.2
2020,Alaska,41901,Diabetics,733391.0,1.3
2021,Alaska,46165,Diabetics,733391.0,1.3
2022,Alaska,48502,Diabetics,733391.0,1.3
2023,Alaska,48806,Diabetics,733391.0,1.3
2000,Arizona,210776,Diabetics,5130632.0,45.2
2001,Arizona,230298,Diabetics,5130632.0,45.2
2002,Arizona,255497,Diabetics,5130632.0,45.2
2003,Arizona,256412,Diabetics,5130632.0,45.2
2004,Arizona,274838,Diabetics,5130632.0,45.2
2005,Arizona,311390,Diabetics,5130632.0,45.2
2006,Arizona,361510,Diabetics,5130632.0,45.2
2007,Arizona,381207,Diabetics,5130632.0,45.2
2008,Arizona,368173,Diabetics,5130632.0,45.2
2009,Arizona,407339,Diabetics,5130632.0,45.2
2010,Arizona,444712,Diabetics,6392017.0,56.3
2011,Arizona,448236,Diabetics,6392017.0,56.3
2012,Arizona,518034,Diabetics,6392017.0,56.3
2013,Arizona,532595,Diabetics,6392017.0,56.3
2014,Arizona,510071,Diabetics,6392017.0,56.3
2015,Arizona,523374,Diabetics,6392017.0,56.3
2016,Arizona,571841,Diabetics,6392017.0,56.3
2017,Arizona,564965,Diabetics,6392017.0,56.3
2018,Arizona,590916,Diabetics,6392017.0,56.3
2019,Arizona,616870,Diabetics,6392017.0,56.3
2020,Arizona,631251,Diabetics,7151502.0,62.9
2021,Arizona,615248,Diabetics,7151502.0,62.9
2022,Arizona,731946,Diabetics,7151502.0,62.9
2023,Arizona,668340,Diabetics,7151502.0,62.9
2000,Arkansas,118510,Diabetics,2673400.0,51.4
2001,Arkansas,155343,Diabetics,2673400.0,51.4
2002,Arkansas,158802,Diabetics,2673400.0,51.4
2003,Arkansas,149729,Diabetics,2673400.0,51.4
2004,Arkansas,145241,Diabetics,2673400.0,51.4
2005,Arkansas,167113,Diabetics,2673400.0,51.4
2006,Arkansas,171320,Diabetics,2673400.0,51.4
2007,Arkansas,197250,Diabetics,2673400.0,51.4
2008,Arkansas,203167,Diabetics,2673400.0,51.4
2009,Arkansas,218692,Diabetics,2673400.0,51.4
2010,Arkansas,209924,Diabetics,2915918.0,56.0
2011,Arkansas,244856,Diabetics,2915918.0,56.0
2012,Arkansas,249140,Diabetics,2915918.0,56.0
2013,Arkansas,259065,Diabetics,2915918.0,56.0
2014,Arkansas,288781,Diabetics,2915918.0,56.0
2015,Arkansas,286454,Diabetics,2915918.0,56.0
2016,Arkansas,307625,Diabetics,2915918.0,56.0
2017,Arkansas,281224,Diabetics,2915918.0,56.0
2018,Arkansas,321645,Diabetics,2915918.0,56.0
2019,Arkansas,315967,Diabetics,2915918.0,56.0
2020,Arkansas,307385,Diabetics,3011524.0,57.9
2021,Arkansas,290039,Diabetics,3011524.0,57.9
2022,Arkansas,367336,Diabetics,3011524.0,57.9
2023,Arkansas,345615,Diabetics,3011524.0,57.9
2000,California,1664337,Diabetics,33871648.0,217.4
2001,California,1618772,Diabetics,33871648.0,217.4
2002,California,1890080,Diabetics,33871648.0,217.4
2003,California,1875353,Diabetics,33871648.0,217.4
2004,California,1849994,Diabetics,33871648.0,217.4
2005,California,1886718,Diabetics,33871648.0,217.4
2006,California,2198866,Diabetics,33871648.0,217.4
2007,California,2071612,Diabetics,33871648.0,217.4
2008,California,2367595,Diabetics,33871648.0,217.4
2009,California,2550223,Diabetics,33871648.0,217.4
2010,California,2423314,Diabetics,37253956.0,239.1
2011,California,2219754,Diabetics,37253956.0,239.1
2012,California,2821730,Diabetics,37253956.0,239.1
2013,California,2969755,Diabetics,37253956.0,239.1
2014,California,3035373,Diabetics,37253956.0,239.1
2015,California,3015610,Diabetics,37253956.0,239.1
2016,California,3088741,Diabetics,37253956.0,239.1
2017,California,3196460,Diabetics,37253956.0,239.1
2018,California,3209418,Diabetics,37253956.0,239.1
2019,California,3108573,Diabetics,37253956.0,239.1
2020,California,3026764,Diabetics,39538223.0,253.7
2021,California,3578930,Diabetics,39538223.0,253.7
2022,California,3520486,Diabetics,39538223.0,253.7
2023,California,3538845,Diabetics,39538223.0,253.7
2000,Colorado,151738,Diabetics,4301261.0,41.5
2001,Colorado,150336,Diabetics,4301261.0,41.5
2002,Colorado,146619,Diabetics,4301261.0,41.5
2003,Colorado,161014,Diabetics,4301261.0,41.5
2004,Colorado,147606,Diabetics,4301261.0,41.5
2005,Colorado,164012,Diabetics,4301261.0,41.5
2006,Colorado,182546,Diabetics,4301261.0,41.5
2007,Colorado,188986,Diabetics,4301261.0,41.5
2008,Colorado,217976,Diabetics,4301261.0,41.5
2009,Colorado,215598,Diabetics,4301261.0,41.5
2010,Colorado,229338,Diabetics,5029196.0,48.5
2011,Colorado,253168,Diabetics,5029196.0,48.5
2012,Colorado,290245,Diabetics,5029196.0,48.5
2013,Colorado,260336,Diabetics,5029196.0,48.5
2014,Colorado,298301,Diabetics,5029196.0,48.5
2015,Colorado,283057,Diabetics,5029196.0,48.5
2016,Colorado,285147,Diabetics,5029196.0,48.5
2017,Colorado,324348,Diabetics,5029196.0,48.5
2018,Colorado,311554,Diabetics,5029196.0,48.5
2019,Colorado,316429,Diabetics,5029196.0,48.5
2020,Colorado,345793,Diabetics,5773714.0,55.7
2021,Colorado,322909,Diabetics,5773714.0,55.7
2022,Colorado,377340,Diabetics,5773714.0,55.7
2023,Colorado,404213,Diabetics,5773714.0,55.7
2000,Connecticut,136006,Diabetics,3405565.0,703.3
2001,Connecticut,161665,Diabetics,3405565.0,703.3
2002,Connecticut,150827,Diabetics,3405565.0,703.3
2003,Connecticut,154086,Diabetics,3405565.0,703.3
2004,Connecticut,157157,Diabetics,3405565.0,703.3
2005,Connecticut,171585,Diabetics,3405565.0,703.3
2006,Connecticut,171564,Diabetics,3405565.0,703.3
2007,Connecticut,195709,Diabetics,3405565.0,703.3
2008,Connecticut,180867,Diabetics,3405565.0,703.3
2009,Connecticut,176551,Diabetics,3405565.0,703.3
2010,Connecticut,195138,Diabetics,3574097.0,738.1
2011,Connecticut,253770,Diabetics,3574097.0,738.1
2012,Connecticut,251753,Diabetics,3574097.0,738.1
2013,Connecticut,233969,Diabetics,3574097.0,738.1
2014,Connecticut,261240,Diabetics,3574097.0,738.1
2015,Connecticut,262215,Diabetics,3574097.0,738.1
2016,Connecticut,277912,Diabetics,3574097.0,738.1
2017,Connecticut,275656,Diabetics,3574097.0,738.1
2018,Connecticut,275491,Diabetics,3574097.0,738.1
2019,Connecticut,271864,Diabetics,3574097.0,738.1
2020,Connecticut,268262,Diabetics,3605944.0,744.7
2021,Connecticut,311975,Diabetics,3605944.0,744.7
2022,Connecticut,308829,Diabetics,3605944.0,744.7
2023,Connecticut,290141,Diabetics,3605944.0,744.7
2000,Delaware,36636,Diabetics,783600.0,402.1
2001,Delaware,41857,Diabetics,783600.0,402.1
2002,Delaware,42659,Diabetics,783600.0,402.1
2003,Delaware,46519,Diabetics,783600.0,402.1
2004,Delaware,44361,Diabetics,783600.0,402.1
2005,Delaware,53876,Diabetics,783600.0,402.1
2006,Delaware,52093,Diabetics,783600.0,402.1
2007,Delaware,57563,Diabetics,783600.0,402.1
2008,Delaware,54090,Diabetics,783600.0,402.1
2009,Delaware,53717,Diabetics,783600.0,402.1
2010,Delaware,58442,Diabetics,897934.0,460.8
2011,Delaware,66305,Diabetics,897934.0,460.8
2012,Delaware,68077,Diabetics,897934.0,460.8
2013,Delaware,80123,Diabetics,897934.0,460.8
2014,Delaware,80809,Diabetics,897934.0,460.8
2015,Delaware,84887,Diabetics,897934.0,460.8
2016,Delaware,79818,Diabetics,897934.0,460.8
2017,Delaware,85130,Diabetics,897934.0,460.8
2018,Delaware,91358,Diabetics,897934.0,460.8
2019,Delaware,98778,Diabetics,897934.0,460.8
2020,Delaware,96844,Diabetics,989948.0,508.0
2021,Delaware,95089,Diabetics,989948.0,508.0
2022,Delaware,111808,Diabetics,989948.0,508.0
2023,Delaware,110118,Diabetics,989948.0,508.0
2000,District of Columbia,29419,Diabetics,572059.0,9370.6
2001,District of Columbia,37170,Diabetics,572059.0,9370.6
2002,District of Columbia,34715,Diabetics,572059.0,9370.6
2003,District of Columbia,37106,Diabetics,572059.0,9370.6
2004,District of Columbia,37173,Diabetics,572059.0,9370.6
2005,District of Columbia,31569,Diabetics,572059.0,9370.6
2006,District of Columbia,34824,Diabetics,572059.0,9370.6
2007,District of Columbia,37147,Diabetics,572059.0,9370.6
2008,District of Columbia,36503,Diabetics,572059.0,9370.6
2009,District of Columbia,35306,Diabetics,572059.0,9370.6
2010,District of Columbia,39592,Diabetics,601723.0,9856.5
2011,District of Columbia,43862,Diabetics,601723.0,9856.5
2012,District of Columbia,42926,Diabetics,601723.0,9856.5
2013,District of Columbia,41790,Diabetics,601723.0,9856.5
2014,District of Columbia,45809,Diabetics,601723.0,9856.5
2015,District of Columbia,47108,Diabetics,601723.0,9856.5
2016,District of Columbia,43014,Diabetics,601723.0,9856.5
2017,District of Columbia,42311,Diabetics,601723.0,9856.5
2018,District of Columbia,48599,Diabetics,601723.0,9856.5
2019,District of Columbia,50203,Diabetics,601723.0,9856.5
2020,District of Columbia,43610,Diabetics,689545.0,11280.0
2021,District of Columbia,42895,Diabetics,689545.0,11280.0
2022,District of Columbia,44101,Diabetics,689545.0,11280.0
2023,District of Columbia,41768,Diabetics,689545.0,11280.0
2000,Florida,819663,Diabetics,15982378.0,298.0
2001,Florida,1005251,Diabetics,15982378.0,298.0
2002,Florida,968984,Diabetics,15982378.0,298.0
2003,Florida,1102740,Diabetics,15982378.0,298.0
2004,Florida,1026751,Diabetics,15982378.0,298.0
2005,Florida,1189301,Diabetics,15982378.0,298.0
2006,Florida,1172565,Diabetics,15982378.0,298.0
2007,Florida,1236492,Diabetics,15982378.0,298.0
2008,Florida,1372255,Diabetics,15982378.0,298.0
2009,Florida,1558407,Diabetics,15982378.0,298.0
2010,Florida,1523503,Diabetics,18801310.0,350.6
2011,Florida,1521069,Diabetics,18801310.0,350.6
2012,Florida,1729052,Diabetics,18801310.0,350.6
2013,Florida,1736908,Diabetics,18801310.0,350.6
2014,Florida,1771321,Diabetics,18801310.0,350.6
2015,Florida,1820768,Diabetics,18801310.0,350.6
2016,Florida,1944189,Diabetics,18801310.0,350.6
2017,Florida,1773643,Diabetics,18801310.0,350.6
2018,Florida,2164009,Diabetics,18801310.0,350.6
2019,Florida,2034991,Diabetics,18801310.0,350.6
2020,Florida,2071045,Diabetics,21538187.0,401.4
2021,Florida,527152,Diabetics,21538187.0,401.4
2022,Florida,2173352,Diabetics,21538187.0,401.4
2023,Florida,2317786,Diabetics,21538187.0,401.4
2000,Georgia,393965,Diabetics,8186453.0,142.3
2001,Georgia,420999,Diabetics,8186453.0,142.3
2002,Georgia,437633,Diabetics,8186453.0,142.3
2003,Georgia,491538,Diabetics,8186453.0,142.3
2004,Georgia,468656,Diabetics,8186453.0,142.3
2005,Georgia,545873,Diabetics,8186453.0,142.3
2006,Georgia,602646,Diabetics,8186453.0,142.3
2007,Georgia,699616,Diabetics,8186453.0,142.3
2008,Georgia,699704,Diabetics,8186453.0,142.3
2009,Georgia,689100,Diabetics,8186453.0,142.3
2010,Georgia,708062,Diabetics,9687653.0,168.4
2011,Georgia,725178,Diabetics,9687653.0,168.4
2012,Georgia,727526,Diabetics,9687653.0,168.4
2013,Georgia,814092,Diabetics,9687653.0,168.4
2014,Georgia,880495,Diabetics,9687653.0,168.4
2015,Georgia,869486,Diabetics,9687653.0,168.4
2016,Georgia,948549,Diabetics,9687653.0,168.4
2017,Georgia,899648,Diabetics,9687653.0,168.4
2018,Georgia,1013358,Diabetics,9687653.0,168.4
2019,Georgia,973450,Diabetics,9687653.0,168.4
2020,Georgia,953887,Diabetics,10711908.0,185.6
2021,Georgia,1024050,Diabetics,10711908.0,185.6
2022,Georgia,1017106,Diabetics,10711908.0,185.6
2023,Georgia,1095694,Diabetics,10711908.0,185.6
2000,Guam,254045,Diabetics,,
2001,Guam,9007,Diabetics,,
2002,Guam,7940,Diabetics,,
2003,Guam,10866,Diabetics,,
2004,Guam,305927,Diabetics,,
2005,Guam,327186,Diabetics,,
2006,Guam,343631,Diabetics,,
2007,Guam,9660,Diabetics,,
2008,Guam,8231,Diabetics,,
2009,Guam,9565,Diabetics,,
2010,Guam,11528,Diabetics,,
2011,Guam,10573,Diabetics,,
2012,Guam,10132,Diabetics,,
2013,Guam,15337,Diabetics,,
2014,Guam,11413,Diabetics,,
2015,Guam,12797,Diabetics,,
2016,Guam,10686,Diabetics,,
2017,Guam,14895,Diabetics,,
2018,Guam,14607,Diabetics,,
2019,Guam,12460,Diabetics,,
2020,Guam,15701,Diabetics,,
2021,Guam,12209,Diabetics,,
2022,Guam,24241,Diabetics,,
2023,Guam,18307,Diabetics,,
2000,Hawaii,46839,Diabetics,1211537.0,188.6
2001,Hawaii,56264,Diabetics,1211537.0,188.6
2002,Hawaii,52496,Diabetics,1211537.0,188.6
2003,Hawaii,72159,Diabetics,1211537.0,188.6
2004,Hawaii,305927,Diabetics,1211537.0,188.6
2005,Hawaii,71413,Diabetics,1211537.0,188.6
2006,Hawaii,79560,Diabetics,1211537.0,188.6
2007,Hawaii,75485,Diabetics,1211537.0,188.6
2008,Hawaii,81493,Diabetics,1211537.0,188.6
2009,Hawaii,84866,Diabetics,1211537.0,188.6
2010,Hawaii,82577,Diabetics,1360301.0,211.8
2011,Hawaii,87678,Diabetics,1360301.0,211.8
2012,Hawaii,82773,Diabetics,1360301.0,211.8
2013,Hawaii,91981,Diabetics,1360301.0,211.8
2014,Hawaii,108365,Diabetics,1360301.0,211.8
2015,Hawaii,95484,Diabetics,1360301.0,211.8
2016,Hawaii,118560,Diabetics,1360301.0,211.8
2017,Hawaii,121823,Diabetics,1360301.0,211.8
2018,Hawaii,128653,Diabetics,1360301.0,211.8
2019,Hawaii,116537,Diabetics,1360301.0,211.8
2020,Hawaii,120971,Diabetics,1455271.0,226.6
2021,Hawaii,108576,Diabetics,1455271.0,226.6
2022,Hawaii,134107,Diabetics,1455271.0,226.6
2023,Hawaii,130235,Diabetics,1455271.0,226.6
2000,Idaho,43475,Diabetics,1293953.0,15.7
2001,Idaho,50078,Diabetics,1293953.0,15.7
2002,Idaho,57913,Diabetics,1293953.0,15.7
2003,Idaho,61455,Diabetics,1293953.0,15.7
2004,Idaho,61531,Diabetics,1293953.0,15.7
2005,Idaho,69321,Diabetics,1293953.0,15.7
2006,Idaho,71295,Diabetics,1293953.0,15.7
2007,Idaho,85126,Diabetics,1293953.0,15.7
2008,Idaho,75976,Diabetics,1293953.0,15.7
2009,Idaho,89273,Diabetics,1293953.0,15.7
2010,Idaho,90587,Diabetics,1567582.0,19.0
2011,Idaho,106612,Diabetics,1567582.0,19.0
2012,Idaho,96649,Diabetics,1567582.0,19.0
2013,Idaho,98977,Diabetics,1567582.0,19.0
2014,Idaho,91799,Diabetics,1567582.0,19.0
2015,Idaho,99277,Diabetics,1567582.0,19.0
2016,Idaho,111490,Diabetics,1567582.0,19.0
2017,Idaho,111476,Diabetics,1567582.0,19.0
2018,Idaho,132857,Diabetics,1567582.0,19.0
2019,Idaho,137374,Diabetics,1567582.0,19.0
2020,Idaho,120640,Diabetics,1839106.0,22.3
2021,Idaho,138750,Diabetics,1839106.0,22.3
2022,Idaho,145661,Diabetics,1839106.0,22.3
2023,Idaho,146844,Diabetics,1839106.0,22.3
2000,Illinois,560361,Diabetics,12419293.0,223.7
2001,Illinois,617233,Diabetics,12419293.0,223.7
2002,Illinois,630968,Diabetics,12419293.0,223.7
2003,Illinois,686759,Diabetics,12419293.0,223.7
2004,Illinois,567756,Diabetics,12419293.0,223.7
2005,Illinois,752157,Diabetics,12419293.0,223.7
2006,Illinois,777911,Diabetics,12419293.0,223.7
2007,Illinois,844941,Diabetics,12419293.0,223.7
2008,Illinois,805830,Diabetics,12419293.0,223.7
2009,Illinois,782785,Diabetics,12419293.0,223.7
2010,Illinois,849838,Diabetics,12830632.0,231.1
2011,Illinois,937833,Diabetics,12830632.0,231.1
2012,Illinois,919758,Diabetics,12830632.0,231.1
2013,Illinois,969566,Diabetics,12830632.0,231.1
2014,Illinois,1001070,Diabetics,12830632.0,231.1
2015,Illinois,983639,Diabetics,12830632.0,231.1
2016,Illinois,1028608,Diabetics,12830632.0,231.1
2017,Illinois,1083169,Diabetics,12830632.0,231.1
2018,Illinois,993082,Diabetics,12830632.0,231.1
2019,Illinois,1110943,Diabetics,12830632.0,231.1
2020,Illinois,1037818,Diabetics,12812508.0,230.8
2021,Illinois,1075676,Diabetics,12812508.0,230.8
2022,Illinois,1185651,Diabetics,12812508.0,230.8
2023,Illinois,1209717,Diabetics,12812508.0,230.8
2000,Indiana,267325,Diabetics,6080485.0,169.7
2001,Indiana,296212,Diabetics,6080485.0,169.7
2002,Indiana,336425,Diabetics,6080485.0,169.7
2003,Indiana,356756,Diabetics,6080485.0,169.7
2004,Indiana,353343,Diabetics,6080485.0,169.7
2005,Indiana,384102,Diabetics,6080485.0,169.7
2006,Indiana,376432,Diabetics,6080485.0,169.7
2007,Indiana,395589,Diabetics,6080485.0,169.7
2008,Indiana,444575,Diabetics,6080485.0,169.7
2009,Indiana,448637,Diabetics,6080485.0,169.7
2010,Indiana,472130,Diabetics,6483802.0,181.0
2011,Indiana,495164,Diabetics,6483802.0,181.0
2012,Indiana,535162,Diabetics,6483802.0,181.0
2013,Indiana,545794,Diabetics,6483802.0,181.0
2014,Indiana,535832,Diabetics,6483802.0,181.0
2015,Indiana,578319,Diabetics,6483802.0,181.0
2016,Indiana,586112,Diabetics,6483802.0,181.0
2017,Indiana,602393,Diabetics,6483802.0,181.0
2018,Indiana,640435,Diabetics,6483802.0,181.0
2019,Indiana,640682,Diabetics,6483802.0,181.0
2020,Indiana,612357,Diabetics,6785528.0,189.4
2021,Indiana,636681,Diabetics,6785528.0,189.4
2022,Indiana,666375,Diabetics,6785528.0,189.4
2023,Indiana,698922,Diabetics,6785528.0,189.4
2000,Iowa,130957,Diabetics,2926324.0,52.4
2001,Iowa,124232,Diabetics,2926324.0,52.4
2002,Iowa,143425,Diabetics,2926324.0,52.4
2003,Iowa,148582,Diabetics,2926324.0,52.4
2004,Iowa,143411,Diabetics,2926324.0,52.4
2005,Iowa,153492,Diabetics,2926324.0,52.4
2006,Iowa,165349,Diabetics,2926324.0,52.4
2007,Iowa,155333,Diabetics,2926324.0,52.4
2008,Iowa,161154,Diabetics,2926324.0,52.4
2009,Iowa,173067,Diabetics,2926324.0,52.4
2010,Iowa,172948,Diabetics,3046355.0,54.5
2011,Iowa,189062,Diabetics,3046355.0,54.5
2012,Iowa,224414,Diabetics,3046355.0,54.5
2013,Iowa,220791,Diabetics,3046355.0,54.5
2014,Iowa,225365,Diabetics,3046355.0,54.5
2015,Iowa,211057,Diabetics,3046355.0,54.5
2016,Iowa,224884,Diabetics,3046355.0,54.5
2017,Iowa,231914,Diabetics,3046355.0,54.5
2018,Iowa,242403,Diabetics,3046355.0,54.5
2019,Iowa,250296,Diabetics,3046355.0,54.5
2020,Iowa,248315,Diabetics,3190369.0,57.1
2021,Iowa,240238,Diabetics,3190369.0,57.1
2022,Iowa,287477,Diabetics,3190369.0,57.1
2023,Iowa,282544,Diabetics,3190369.0,57.1
2000,Kansas,114546,Diabetics,2688418.0,32.9
2001,Kansas,115070,Diabetics,2688418.0,32.9
2002,Kansas,127032,Diabetics,2688418.0,32.9
2003,Kansas,120926,Diabetics,2688418.0,32.9
2004,Kansas,131398,Diabetics,2688418.0,32.9
2005,Kansas,141033,Diabetics,2688418.0,32.9
2006,Kansas,150036,Diabetics,2688418.0,32.9
2007,Kansas,151937,Diabetics,2688418.0,32.9
2008,Kansas,168123,Diabetics,2688418.0,32.9
2009,Kansas,178246,Diabetics,2688418.0,32.9
2010,Kansas,177836,Diabetics,2853118.0,34.9
2011,Kansas,202481,Diabetics,2853118.0,34.9
2012,Kansas,202504,Diabetics,2853118.0,34.9
2013,Kansas,207955,Diabetics,2853118.0,34.9
2014,Kansas,224860,Diabetics,2853118.0,34.9
2015,Kansas,212576,Diabetics,2853118.0,34.9
2016,Kansas,206760,Diabetics,2853118.0,34.9
2017,Kansas,230835,Diabetics,2853118.0,34.9
2018,Kansas,255215,Diabetics,2853118.0,34.9
2019,Kansas,238559,Diabetics,2853118.0,34.9
2020,Kansas,244977,Diabetics,2937880.0,35.9
2021,Kansas,248262,Diabetics,2937880.0,35.9
2022,Kansas,256529,Diabetics,2937880.0,35.9
2023,Kansas,257866,Diabetics,2937880.0,35.9
2000,Kentucky,193395,Diabetics,4041769.0,102.4
2001,Kentucky,202676,Diabetics,4041769.0,102.4
2002,Kentucky,214769,Diabetics,4041769.0,102.4
2003,Kentucky,264368,Diabetics,4041769.0,102.4
2004,Kentucky,239624,Diabetics,4041769.0,102.4
2005,Kentucky,281368,Diabetics,4041769.0,102.4
2006,Kentucky,317635,Diabetics,4041769.0,102.4
2007,Kentucky,318038,Diabetics,4041769.0,102.4
2008,Kentucky,318356,Diabetics,4041769.0,102.4
2009,Kentucky,376381,Diabetics,4041769.0,102.4
2010,Kentucky,329199,Diabetics,4339367.0,109.9
2011,Kentucky,355637,Diabetics,4339367.0,109.9
2012,Kentucky,356559,Diabetics,4339367.0,109.9
2013,Kentucky,359001,Diabetics,4339367.0,109.9
2014,Kentucky,423646,Diabetics,4339367.0,109.9
2015,Kentucky,458381,Diabetics,4339367.0,109.9
2016,Kentucky,449044,Diabetics,4339367.0,109.9
2017,Kentucky,442480,Diabetics,4339367.0,109.9
2018,Kentucky,474456,Diabetics,4339367.0,109.9
2019,Kentucky,463951,Diabetics,4339367.0,109.9
2020,Kentucky,450340,Diabetics,4505836.0,114.1
2021,Kentucky,486196,Diabetics,4505836.0,114.1
2022,Kentucky,519092,Diabetics,4505836.0,114.1
2023,Kentucky,588371,Diabetics,4505836.0,114.1
2000,Louisiana,207366,Diabetics,4468976.0,103.4
2001,Louisiana,242769,Diabetics,4468976.0,103.4
2002,Louisiana,228506,Diabetics,4468976.0,103.4
2003,Louisiana,278864,Diabetics,4468976.0,103.4
2004,Louisiana,272372,Diabetics,4468976.0,103.4
2005,Louisiana,264552,Diabetics,4468976.0,103.4
2006,Louisiana,307119,Diabetics,4468976.0,103.4
2007,Louisiana,327971,Diabetics,4468976.0,103.4
2008,Louisiana,348150,Diabetics,4468976.0,103.4
2009,Louisiana,367682,Diabetics,4468976.0,103.4
2010,Louisiana,344403,Diabetics,4533372.0,104.9
2011,Louisiana,399306,Diabetics,4533372.0,104.9
2012,Louisiana,424182,Diabetics,4533372.0,104.9
2013,Louisiana,407009,Diabetics,4533372.0,104.9
2014,Louisiana,397294,Diabetics,4533372.0,104.9
2015,Louisiana,451323,Diabetics,4533372.0,104.9
2016,Louisiana,434272,Diabetics,4533372.0,104.9
2017,Louisiana,487443,Diabetics,4533372.0,104.9
2018,Louisiana,505468,Diabetics,4533372.0,104.9
2019,Louisiana,447844,Diabetics,4533372.0,104.9
2020,Louisiana,500791,Diabetics,4657757.0,107.8
2021,Louisiana,486568,Diabetics,4657757.0,107.8
2022,Louisiana,520485,Diabetics,4657757.0,107.8
2023,Louisiana,568733,Diabetics,4657757.0,107.8
2000,Maine,56181,Diabetics,1274923.0,41.3
2001,Maine,63983,Diabetics,1274923.0,41.3
2002,Maine,71883,Diabetics,1274923.0,41.3
2003,Maine,74512,Diabetics,1274923.0,41.3
2004,Maine,76565,Diabetics,1274923.0,41.3
2005,Maine,76173,Diabetics,1274923.0,41.3
2006,Maine,71665,Diabetics,1274923.0,41.3
2007,Maine,82332,Diabetics,1274923.0,41.3
2008,Maine,86307,Diabetics,1274923.0,41.3
2009,Maine,86784,Diabetics,1274923.0,41.3
2010,Maine,90221,Diabetics,1328361.0,43.1
2011,Maine,100752,Diabetics,1328361.0,43.1
2012,Maine,101561,Diabetics,1328361.0,43.1
2013,Maine,102784,Diabetics,1328361.0,43.1
2014,Maine,101413,Diabetics,1328361.0,43.1
2015,Maine,106053,Diabetics,1328361.0,43.1
2016,Maine,113558,Diabetics,1328361.0,43.1
2017,Maine,115342,Diabetics,1328361.0,43.1
2018,Maine,115001,Diabetics,1328361.0,43.1
2019,Maine,115532,Diabetics,1328361.0,43.1
2020,Maine,113136,Diabetics,1362359.0,44.2
2021,Maine,116484,Diabetics,1362359.0,44.2
2022,Maine,124840,Diabetics,1362359.0,44.2
2023,Maine,130376,Diabetics,1362359.0,44.2
2000,Maryland,252100,Diabetics,5296486.0,545.6
2001,Maryland,272868,Diabetics,5296486.0,545.6
2002,Maryland,273529,Diabetics,5296486.0,545.6
2003,Maryland,283643,Diabetics,5296486.0,545.6
2004,Maryland,292448,Diabetics,5296486.0,545.6
2005,Maryland,298940,Diabetics,5296486.0,545.6
2006,Maryland,331370,Diabetics,5296486.0,545.6
2007,Maryland,349785,Diabetics,5296486.0,545.6
2008,Maryland,370889,Diabetics,5296486.0,545.6
2009,Maryland,394569,Diabetics,5296486.0,545.6
2010,Maryland,397012,Diabetics,5773552.0,594.8
2011,Maryland,410763,Diabetics,5773552.0,594.8
2012,Maryland,456050,Diabetics,5773552.0,594.8
2013,Maryland,451013,Diabetics,5773552.0,594.8
2014,Maryland,467041,Diabetics,5773552.0,594.8
2015,Maryland,481643,Diabetics,5773552.0,594.8
2016,Maryland,505926,Diabetics,5773552.0,594.8
2017,Maryland,488942,Diabetics,5773552.0,594.8
